Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,mixtral-8x7b,mixtral-8x7b,Server,60205.0,ROUGE1: 45.4078  ROUGE2: 23.2531  ROUGEL: 30.3504  TOKENS_PER_SAMPLE: 146.3  gsm8k_accuracy: 74.04  mbxp_accuracy: 59.78,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/mixtral-8x7b/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Tokens/s,"fp8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,mixtral-8x7b,mixtral-8x7b,Offline,62386.2,ROUGE1: 45.4064  ROUGE2: 23.1865  ROUGEL: 30.2546  TOKENS_PER_SAMPLE: 145.6  gsm8k_accuracy: 73.4  mbxp_accuracy: 60.12,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/mixtral-8x7b/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Tokens/s,"fp8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,rgat,rgat,Offline,418270.0,acc: 72.853,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/rgat/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Samples/s,"fp16"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,retinanet,retinanet,Server,14004.6,mAP: 37.349,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/retinanet/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Queries/s,"int8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,retinanet,retinanet,Offline,14992.5,mAP: 37.338,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/retinanet/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Samples/s,"int8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,llama2-70b-99,llama2-70b-99,Server,33054.0,ROUGE1: 44.5553  ROUGE2: 22.1419  ROUGEL: 28.79  TOKENS_PER_SAMPLE: 292.5,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/llama2-70b-99/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Tokens/s,"fp8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,llama2-70b-99,llama2-70b-99,Offline,34889.5,ROUGE1: 44.546  ROUGE2: 22.1333  ROUGEL: 28.7835  TOKENS_PER_SAMPLE: 291.5,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/llama2-70b-99/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Tokens/s,"fp8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,resnet50,resnet,Server,676219.0,acc: 76.078,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/resnet50/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Queries/s,"int8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,resnet50,resnet,Offline,765403.0,acc: 76.078,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/resnet50/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Samples/s,"int8"
GigaComputing,available,closed,"datacenter","G893-SD1",G893-SD1_H200-SXM-141GBx8_TRT,gptj-99.9,gptj-99.9,Server,21544.3,ROUGE1: 43.1118  ROUGE2: 20.1071  ROUGEL: 29.9676  GEN_LEN: 4153194,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/G893-SD1_H200-SXM-141GBx8_TRT/gptj-99.9/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v5.0,0,False,Tokens/s,"fp8"
